Company Name,Verticals,Financing Stage,Region,Company Description,Company Highlights,Pitch Deck,Get Connected,Founder Name,View LinkedIn,Pitch Video (if available),View Website,State,Country,Accelerator Program
Level2,Fintech,Seed,Europe,The first fully visual no-code Quant trading strategy creation tool built for retail traders,"- MVP fully developed with daily active users and a clear roadmap to revenue in the short term.
- More than 40k registered users with minimal marketing effort or spend.
- A user conversion rate of 88% and an active user rate of 14% - both higher than the industry average.
- Successfully raised $800k to date with a consistently low burn rate and a pre-existing runway of 12 months.",Level2 Pitch Deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/rURnMRTIVkCFFS4x-wMbyQ/WVYDzKVmlQ6TwXfWHFQwhV5gh9hW0UiPtA9hII2Q-DsNTjRucSaBSZzsVO7DjuMi4HB7xzd5GQEahYonS7gmFIMxJ4XlDo13CgLLCMb6XFgBEJcCW-8Eimqc120gfv9JbEsBVfmrk4jwMk_o6yCuAA/fgGK4ZZVOHI3akmztL5iWdo_RETwA-sLxB7qQBlR5Iw),https://brdg.app/s/w4br1w,Andrew Grevett,https://www.linkedin.com/in/andrewgrevett/,https://fast.wistia.com/embed/medias/hs4tqqaols,https://www.trylevel2.com/,,United Kingdom,ABN AMRO & Techstars Future of Finance Accelerator
inlike,"Construction technology,Future of work,Real estate tech",Seed,United States,"For real estate developers struggling with project management, we at Inlike streamline operations and communication, increasing efficiency and revenue, with a platform designed from our extensive experience in construction and software.","- Signed eight contracts during our time at Techstars LA without a product
- Delivering the development of MVP in less than three months
- The first projects to run in the platform will be early Q2 2024",Pitch Deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/Rory0m5LBVnaFWiv-suB-Q/LQLmwbGV8Im47CWFdkzHpNs_MZbtI6nrgUllc-SizPDpHsR7hIYeEdeSKP48KNc47MAG8OF5vVgpTVYjdjpj9qZpolhpsDcXHrzp_2idd32XPNDYTedFGFkOj5ZqpZw9hybPtNyf4sFE4-pKWp3dZw/vmR_6Rq_2hCjNxwezeHbeaLAkOxG0WXFp9U2Gh1v_-8),https://brdg.app/s/zc217a,Dan Botero,https://www.linkedin.com/in/danbotero/,https://fast.wistia.com/embed/medias/05fqw7wq7g,https://www.inlike.construction/,California,United States,Techstars Los Angeles powered by J.P. Morgan
LogSpend,"Artificial intelligence and machine learning,""Technology, media and telecommunications""",Pre-Seed,Europe,LogSpend is building the Google Analytics for LLM products - providing actionable insights to help product teams understand how LLMs are interacting with their users.,"- Raised from prominent angels from Atomico, Spotify.
- 2 paid customers.
- Early signs of product-led growth motion.
- Developed MVP in less than 4 weeks.",LogSpend (1).pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/QyUchgqosZQFw9M_11zebw/FvjOyxpvEMAzoNIV4Ju_D-JbJD0rVkILuzskai3hOGLtNiv6ZxSC7vdTNrxgTgyxcfgUHcGqqftFOZJ_jX301gt-5LvS_hq7aTi033ZHDrcs0Xl9SvHTTwyKMfHqyNJxOAvx6y-KSgXDEQPHhGV1ow/6B1VtQPOoEd9iZj289_jwzGj_6W3_I6tLzsdznPLDzs),https://brdg.app/s/93w3m3,Victor Chima,https://se.linkedin.com/in/vchima,,https://logspend.com,,Spain,Techstars Berlin Accelerator
Market Games,"Edtech,Future of work,Mobile",Pre-Seed,United States,"Market Games is gamifying the learning experience to help educators teach business literacy in a fun and exciting way! We've gained traction (e.g UC Berkeley, UNC, Purdue, Cork University in Ireland) and are ready to serve a broader audience. ","'- Generated $150k in revenue in the last 12 months
- Established in Europe (Saint Louis University in Spain, Cork University in Ireland)
- Gained traction in the U.S (UC Berkeley, UNC, Purdue, and a few others)",Market Games Pitch Deck 2024.pptx.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/8KuTCyrwvYEMZVJQTxq0kQ/-ahaXlEHl3sNSR4A5H-QDVmB12_ZcrLeK7lyAz5hFKk3G7lOtczO6kbhIcYZvJCB4eHAVIDNSDRQ_167-pKHQ4A44E2K5Xcdgfe0LO5hBJD2ixBM70Accau52Sa3zKdfcmkXlAJZ9RBUP7PHsQcb2HYIKZ46C4Ha6Gzj-okGnfk/rzYxh-r36u6IOuZ14S7RPcWADhhWLFTe38AdKoFlwPc),https://brdg.app/s/88r8g3,Torsor Kotee,https://www.linkedin.com/in/torsorkotee/,,www.marketgames.io,California,United States,Techstars Washington DC powered by J.P. Morgan
ProsumerGrid,"Artificial intelligence and machine learning,Cleantech,Climate tech",Seed,United States,"ProsumerGrid revolutionizes energy planning with AI-powered, cloud-based software. Enables utilities to forecast, simulate, and optimally plan clean energy transition to renewables, storage, EVs, and heat pumps. Raised $4.2M+ grants and $1.6M pilots.","- Successfully completed a $1.4M project demonstration with Avangrid, forecasting electric vehicle adoption across 16 NY cities. Currently in discussions for a $2.8M demonstration with United Illuminating.
- Winner of DeltaClimeVT, ProsumerGrid is piloting a project with Burlington Electric, showcasing innovation in energy planning.
- Chosen by the DOE for SBIR phase II, collaborating with Emrgy to optimize microgrids in the agriculture sector.
- Recognized as a top company in the Next Era Seed Competition.",2023_12_20 ProsumerGrid_Pitch.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/8ze4iQkw5Dt1tPzLfbs9oQ/gYBOysS6b_Xdi6LVaJPWnSlv32KQhlOT7kFNzxeATFX5IgSqoXPPkW-ZTip0wbs_F65d-9BpMCyqbsVrPlUnhWPqIOlidRV_hGf7ZcAmrvYUqrZ4I1_heXMUCHYwYg55Ly9IXGWeF6-rX6ecKX2RZSh687UoEZ5L06QsOslJK5Q/nZarCNqXuNMlwJswYvADs0fLeIuplgGhWELAIcvslTk),https://brdg.app/s/pyd61k,Marcelo Sandoval,https://www.linkedin.com/in/marcelo-sandoval-prosumergrid/,https://fast.wistia.com/embed/medias/bo2x5t9res,https://prosumergrid.com/,Georgia,United States,Techstars Chicago powered by J.P. Morgan
Steno.ai,"Artificial intelligence and machine learning,""Technology, media and telecommunications""",Pre-Seed,United States,"We help creators and brands monetize with AI. We transform their content into an AI experience so they can provide more value to their audiences and open a new revenue channel, without any extra effort. We’ve secured $45K in initial MRR.","'- Recently secured a new channel partner, DrTalks, who will contribute $45K in initial MRR.
- In just the past few weeks, onboarded 10 high-profile creators with a total audience size of 7.9 million, this presents a $395K ARR opportunity, with 30+ more brands in the pipeline waiting to be onboarded now.
- Currently in channel partnership discussions with Megaphone (Spotify), Art19 (Amazon), and Sounds Profitable. 
- Early creator partners include — Bankless (1M), Dr. Talks (1M audience), Neil Patel (2M), Dan Martell (300K), Stephanie Daily (200K), and Justin Donald (100K).",Steno.ai - investor memo.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/FttIG9KAYcOmXSOnQFTmaA/cEkQQQ6MIUpvaS3GjbVkplB0e4KS3lCVz0PA6Cg7Uy6YbhItSSnjdeYywtFzL7RQmq9meJGWgJElavir_1gpYT3wWWKsfgc0YK2eLtNDRoeJYOKF6vqG5A44QpNCeH3noeebJviCynXXtD0FcIqnrGly3HweTONqxxALG1S61gM/oCU6p9DgFgtR6kA-m5rqgE4OBuwqYrc6_Uqf6_UwQnY),https://brdg.app/s/astfar,Arman Assadi,https://www.linkedin.com/in/armanassadi/,https://fast.wistia.com/embed/medias/c6y2nc7ftn,https://steno.ai/,California,United States,Techstars San Diego powered by San Diego State University
illuminem,"Cleantech,Climate tech",Pre-Seed,Europe,"illuminem is the sustainability information & data platform (“the Bloomberg of Sustainability”). It offers climate insights, and the only Sustainability Sales Navigator (SaaS) based on ESG data & intent data from the 200k users engaged on illuminem.","'- 200k cumulative users (40% executive) achieved without marketing spend. 
- 1,300 engaged Thought Leaders (incl. CEOs from Siemens to Greenpeace, profs at Harvard, the UN Undersecretary General, Climate Ministers, ...) make of illuminem the world’s largest expert network in sustainability. 
- €100k of pre-ordered SaaS B2B sales (ARR).
- Received 3 term sheets and Angel investments from top climate personalities (Climate Global Director at Tikehau Capital, CEO of South Pole Carbonsink, the leadership of BCG & Bain Energy, the first Minister of Climate in the Americas).",illuminempitchlight.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/deniJqVik1P4L6045gfakQ/L9DJkynsOSGfNgCjofKjbcFoQpo_hjDJJRPgtXWd7CbSjMPHRHaZLC30EsX9aVhOK9ks8vd9bdbDqZSmBLuNnfHbxsqnYatmCiIZgrOfgMet752ueZpxE9gB3xKpfXX1j0Cm9jDSTz4_xqBEav50KlGfE7SD2mmiBdajQqQdv64/E54XYVO-6JqeK3kir7cRWAEJjCkD2UsrnUdnptOACdA),https://brdg.app/s/pucxrq,Andrea Gori,https://www.linkedin.com/in/goriandrea,https://fast.wistia.com/embed/medias/0ae6kv56sj,https://illuminem.com/,,Italy,Techstars Sustainability Paris Accelerator
Katapulte,Fintech,Pre-Seed,United States,Katapulte is a cutting-edge loan origination software linking CPG-based businesses with bank lenders to streamline funding for their purchase orders. ,"- 500 CPG pipeline of customers.
- 1 LOI from a CDFI bank lender.
- Investment from Pharrell Williams.
- MVP launch in March 2024.",Katapulte.InvDeck.1-pdf.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/_D1vJTzGZmTyfyUqVTisnw/rDf4RPES7S3oB-fv8uvun1S-dsJ1dBng2vSaNNU8xKqtG_anAQuXCU_LWejT2ucXTI3yavEtv5nDIfl11D7I51LnjTlYPo8Yw0fLsXqtTNEWJV3TKnn2fNpxNxsMlZEYpze7WFf9_6Vw34CfgPV-pnvpUGe-Hmwo7WhKHDXbVfM/TDZ-xyeu0y_F6hSQPC1L5Al6cjRZ0CfAvTp1y76vLcU),https://brdg.app/s/ylcsdg,Michelle Dalzon,https://www.linkedin.com/in/michelle-d-251ba29/,https://fast.wistia.com/embed/medias/iv5fhezsjf,www.katapulte.io,Massachusetts,United States,Build in Tulsa Techstars Accelerator
Outlit,"Artificial intelligence and machine learning,Future of work,""Technology, media and telecommunications""",Pre-Seed,Canada,"Outlit is an AI-powered contract intelligence platform. 

We've developed AI agents to enable companies to extra extract key insights from contracts, negotiate better deals faster and reduce overall legal expenses. 
","- Enterprise paid pilot.
- 5 Paying customers and generating 1K MRR.
- 25% paid pilot to customer conversion.",Outlit Deck .pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/dAcnZDeQPX3Q1xzG92Ii2g/Ek0Vv0Dl87F7qybnpqEMsNtWyj353fPqPhS7a8Zp6F4aXWixc7-TjvnSv_iyT62N7HecPuxOgKpST1zofvKGVQyRgBwR9wGXNt2nDKem-riZVXga-EbLeD0Sb2We8kwLhBC55vnCZwbJs1e-8p8RxA/bvc-qb6UmU4i8UFS7mxf8kHNoHl7MKqrShTGR5knEW4),https://brdg.app/s/aaagla,Joshua Earle,https://www.linkedin.com/in/joshearle/,https://fast.wistia.com/embed/medias/9gx5lkeql5,https://outlit.ai/,,Canada,Techstars Chicago powered by J.P. Morgan
EKOS.AI,"""Technology, media and telecommunications""",Seed,United States,"EKOS is the next global networking platform, bridging the gap between in-person and virtual interactions. ","- 17,000 Users
- 1000% MoM Growth
- Recently in the Boston Globe being compared to Hubspot and Reddit.
- Available on Web and IOS.",EKOS.AIInvestorPitchDeck202371.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/83sXoZ5_9zDNyFCNwgAs8A/rzjKsXieTkGhMCTwer0lN4fYYH1-4GUdJYGknAQIZ7rS9V4Pvq1_MvAGDsTbI6JPaBMBzaRgC64O1SO2tw1iEpnEl0xkJNg9SC6A_echkse4CLSZHuOXRuS2YbfXv2uh7PjtGWQ1Rg93pQ90xeD78ue5E2jKyO0UgOYQRhGDaYs/W1IzI3Yvc-2DWYzoXyCmfMo9837Po2-crFHl2SHxiHg),https://brdg.app/s/pc17pv,Melis Dural,https://www.linkedin.com/in/melis-dural-39994219,,www.ekos.ai,New York,United States,Techstars Boston Accelerator
Propellane,"Cleantech,Industrials,Manufacturing",Pre-Seed,Europe,Propellane develops novel equipment that reduce the CO2 and NOx emissions of industrial heat by 5x. At no extra operational costs vs fossil gas and ROI on par with industry expectations.,"'- Prototype (TRL5) almost finished & already reached 180 deg C.
- Partnership contract signed with one of the largest energy company in Europe.
- Two patents filed (and high chance of getting it confirmed).
- Digital twin confirms great efficiency performances.",Propellane 3mn Pitch TSP.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/3vsqwsntzIN_yRlJ_mkJVg/s-4la6jytqx9p82cx5dsvbUzeGFhT6Z7VLQrnGt-rF2xOzOF6H_3RKCdGE4siI_wlYPAUVlFgzKHxHmRvqG72cvRGHlO8jpGaOta9_PHyzsUMsS7uegILaAokW9EvTEMQvKD4DZqcujXspHDwQ7vfV2uwUQjHUUKfXzsvj3zkYg/J5T1vqrXD1lRHz64O3zdJe6Hzfba-iAEEFmOLs7z3P0),https://brdg.app/s/3vzk57,Christophe Poncelet,https://www.linkedin.com/in/christophe-p-97981522/,https://fast.wistia.com/embed/medias/2w31v3iu2j,https://propellane.eu/,,France,Techstars Sustainability Paris Accelerator
Aura Finance,"Digital health,Fintech,Future of work",Pre-Seed,United States,"Aura is a B2B2C, psychology-based financial wellness app that combines wealth management and behavioral coaching to help employees build healthy financial habits and grow long-term wealth.","- Secured 9 corporate partnerships including Stripe, Clari, Amplitude, and Visa
- Anticipating 15 new partners in the next 3 months; late stage conversations with PWC, LinkedIn, Motorola, Microsoft and more 
- Aura works with corporate partners with Learning & Development and or wellness budgets. They approve Aura as an L&D or wellness expense in exchange for us hosting a free workshop. There, we convert employees into Aura users in real time – all for just $249/member. 
- The reception has been phenomenal with 100% of attendees saying they would recommend the workshop to a friend, 70% saying they felt more confident investing after just 40 minutes, and 33% of attendees already subscribing live.",Aura Investor Deck (Techstars).pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/79tlUdbzt9K4i9MCzmmG_w/8Il-iVq1UFkJ9QnDOJsdipONlTEYZXxIGjcyngBIBjxQvOjMfHY-pOUbYVqEos2lPaOu4Fd18KAUnaS5pcAsPNtLhw0y07Eh88bcaaWjEEztiqL6qxuzk3tNRkdz5ol-g37gYstqyqPU-I3RoXnShS5SudG-FS2YGCSM8YB6IV8/b_siGJQg-ledvuG2bd44blZNBWL1DE76ExmdmfU60ew),https://brdg.app/s/wte9t4,Kelsey Willock,https://www.linkedin.com/in/kelsey-willock-jones-59662a36/,https://fast.wistia.com/embed/medias/n46l6ke4az,https://www.Aurafinance.io,California,United States,Techstars Economic Mobility Powered by Samvid Ventures
Smart Border Systems,"Infrastructure,Internet of Things,Supply chain technology",Pre-Seed,United States,"SBS connects ports of entry infrastructure with Customs and travelers to minimize wait times, increase ports' predictability, and diminish greenhouse emissions from thousands of essential travelers and supply chains. ","- Finalist at San Diego Startup Week 2022.
- Runner-up at UC San Diego, Border Innovation Challenge.
- Extensive binational outreach with government stakeholders.",SBS_pitch deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/sXBVr4aE0zDSvbVK_niTGQ/VwDW3xx1pfpX4NqhnNI-w_ISxFa59Jg-Kjj7sNYXxIkaaRYblBwD-dLkF8JXvaLyXLewgHwmQIn15XD0xNHUka17laXUSofj77t4-e_fY16h8roQIGXw_TEevb7B1wr0upmSalhppEHPn-wh9eQP3Q/UIsXQZOhrv8iTyySSvNOX1UJlvexiujl8llf29SRn4A),https://brdg.app/s/8a8jsz,LUIS EDUARDO CABRERA,https://www.linkedin.com/in/eduardo-cabrera-c/en,,https://www.smartborder.systems/,California,United States,Techstars Washington DC powered by J.P. Morgan
Hash App,"Artificial intelligence and machine learning,Fintech,Web 3.0/Crypto/Blockchain",Pre-Seed,United States,"Hash App is a Neo-Investing app that lets US retail investors easily invest in both the US markets and globally, especially in emerging markets financial securities and AI-powered smart portfolios - think investing without borders!","- Launched our MVP - Onboarding Users from our Waitlist.
- Raised $1 Million from Family, Friends, & Angels - Including Techstars & YC Founders who have exited. 
- Executing at 80% below comparable cost using Distributed Offshore Engineering.
- Concluded our FINRA Pre-License Application with DPF Partners New York.",Hash App Demo Day Pitch Deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/bT8QS6GRdfn7Tt9YjhJh1A/b9FWRA4qZhFSPsAcUr_7pl286tJY8qTA7gngQN2xDV-IYR6_-7TCYuXKol2xmNMUFthV0io9P7mExlSvQ1kZkd337xIQCyWmcO39gWbOKxfaRtDQ7ny825JpCgjAFYmRZdCKbOmNUzgrHT4zvmgf0Cop2r-QOyWwz3sJTD9cb5M/eQDwgVAl9MblS_-VxkLgt0QH7997I9IjPvXF5pT1Urw),https://brdg.app/s/by3hqe,Andrew Okoto,https://www.linkedin.com/in/andrew-okoto-75467510/,,https://www.gethashapp.com/,Florida,United States,Techstars Detroit powered by J.P. Morgan
Locus Lock,"Mobility tech,Space tech,""Technology, media and telecommunications""",Pre-Seed,United States,"Locus Lock delivers a high performance, trustworthy GPS/GNSS receiver that provides secured centimeter-level positioning to enable mobility in commercial and military applications. ","- Won $175k from SOCOM Phase I SBIR in November 2023
- Paid partnership with Anduril to deploy pilot units 
- Partnership with commercial GPS provider to enable next-gen PNT for ground users
- Product is TRL 7+, deployed across a major constellation of LEO satellites with 2M+ space flight hours",LocusLock_PitchDeck_124_External_Shareable.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/h0NRoMtr4KNrFvKlDg7Qtg/UhVI_hnQLa4L_0YSxblySnGQhiaZ3mtLBAN7zQdFt_bEVGxO3EqoNqTybU7zkvF5WSCJ3ld7imyrENDUfkDAPXYHRdueDH0NCp5jcVwUEV5O42uO6H4FpD7JW61bQJakmjDCqpWDpJ4_1zwl8kJsRqVV2kPgOFjKe7QXUp-T9A1HhTZDM_1srI2Y3qHFRxtr/_9Xc511mIcxfssfvNP3W21iNkToFxnF88mV1u2INc94),https://brdg.app/s/r3jr3u,Hailey Nichols,https://www.linkedin.com/in/hailey-nichols/,https://fast.wistia.com/embed/medias/n5jri101i4,https://locuslock.com,Colorado,United States,Techstars Space Accelerator
Destined AI,"Artificial intelligence and machine learning,Digital health,Healthtech",Pre-Seed,United States,"Destined AI helps companies to detect and mitigate unwanted bias in AI. Currently, we targeting human speech and healthcare AI interactions. ","'- First customer, Amazon, $30k and scaling up to $600k.
- Unique participants: 200 (13.3% to goal //+85 over last 30 days).
- Data points: 6,684 (+162% growth // +4,132 over last 30 days).",DestinedAI_Investor_Reveal_Deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/8d-jP7ITMtMWeCiVjy0uOA/VQ3HjLzg6f7NGifK-3YfLh_PFvEnwJwqC-6gamqpV989QEs-6N8hG5ACm5cgppejHFRqt4-2jzdlKKJJXfOuk1ELV6HjKLA_YgtEAmALTEp7v889uDQrfDCzVeCvD-KtEjWOyyXqbz-nZpTTqXFKDtlgU5hy78cA9e4G_4EjAHI/-L0qC4QPUMI6fByxNtXDqU6ESpQ6gpjmBDcNmOkSvb8),https://brdg.app/s/1a42fa,Gerald Carter,,,https://www.destined.ai,Georgia,United States,Techstars Detroit powered by J.P. Morgan
Superinsight,"Artificial intelligence and machine learning,Healthtech,Legal tech",Pre-Seed,United States,"Superinsight uses Generative AI to simplify the disability claim process for advocates, reducing their workload and enabling faster claim processing. Currently, Superinsight is focused on serving military veterans.","- Launched our paid subscription model after 8 months of MVP.
- Signed 4 paying customers at $250 per user in our first month.
- Got accepted into the Department of Veterans Affairs Tech Sprint Program to develop a solution for the VA with the VA.",Superinsight-PreSeed-Deck-Techstars.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/qNaYOnSOaPyvG6lMxjz2Fg/QbhufBfjMgtp31tGAW_F3joYpPbhmzrErn-h917mVVu5XAumVNV7CL84pLB7pCnoPW0CV-XTlD3x65LN2TDSiTpQr4iwWBE-ANXE6asmrmccy8P53u_d6MWrHVQdvVK1qoE1Ll7zUyqZdkSA5hGAG8ecFdRlBZ4ZMqG0mWY6gdhteQMB8MR2SZm_Eoxs8_CX/QsBjQny7cF-zLtJB8wFNl75rMpJS2evCkiYcQfnw_Y0),https://brdg.app/s/lg8zqa,Nelson Chu,https://www.linkedin.com/in/nelsonchu247,https://fast.wistia.com/embed/medias/9wns7cdlh1,https://superinsight.ai,California,United States,Techstars Austin Accelerator
Canopy,"Future of work,Marketing tech",Pre-Seed,United States,The $20bn Influencer Marketing industry is broken. Brands can’t source the volume of Influencers to drive sales and only 4% of Influencers earn enough to make a living. Enter Canopy - a marketplace for Brands and Influencers to partner at scale. ,"'- Onboarded 1000+ Creators in 10 weeks to a closed pilot on TestFlight.
- 40% weekly active users, with 12 minutes average session length (3x the industry norm for mobile apps).
- 4,000+ Creators on Canopy's waitlist, growing 30% MoM.
- Named by Business Insider as one of the top social media apps to check out in 2024.",CanopyDemoDay_v0.1.pptx (1).pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/E_ade7EegaaBpCleXTExZQ/s3sMcO9OiDQDmtZ6mzhZONrQC7A1ESa1jCq0w6inn7AfU17PVU_sbuVCO7tphT9CYHcyhFpOADm91alUVL5NNDmBmVRjv53akD4vlU3wTFVXzWkn-nYYgLqFPgSF0fImTjxUPoZn9EoG9IGz6BF1PgywOENk8Emep-4W9efu2V8/_-dDiCwf5ZPjMKZiJtAaz36NjhtQYuUt2Hq8qAvnzoo),https://brdg.app/s/jc50g4,Ayomi Samaraweera,https://www.linkedin.com/in/ayomi-samaraweera-71463b2b/,https://fast.wistia.com/embed/medias/6nqv4pjwzl,https://underthecanopy.io/,California,United States,Techstars Seattle Accelerator
Paralog ,"Artificial intelligence and machine learning,Gaming",Pre-Seed,Canada,"Paralog is building a no-code solution to automate the production of non-player characters behavior for video game designers. We developed a unique AI technology, using custom models.","- Partnership exploration with 10+ studios, with 3 main leads so far: Inworld, Don't Nod and Perfect Day.
- More than 30 studios in our client pipeline.
- Assembled a team of veteran game developers and built a hands-on PoC Demo in less than 3 months.",Paralog-investor-deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/BzG_vhcsvub6JEjBsNHmCw/qiToWW6OhVPhXGq20Z4rQvtTBm-SXrgNCvPdQbJ5wFPQTRjC34reIFqjCPorEdSA36TVCT2URF00BPFqDeZ82gAqXd-rzjsU4l7ENnRJKDTP9aTcRqcKhNPsO3fchHQJgN1viiQcojJ7S73gGnf-MG8tdBgmOaj3JjVyp416zw8/5U1XBDrOEeuIpQdzv8UQxrvBenX3ge0G2fkESYzrEaM),https://brdg.app/s/37a06n,Elisabeth Gosselin,https://www.linkedin.com/in/elisabeth-gosselin-mba-b8a6383b/,https://fast.wistia.com/embed/medias/pe2jvgaq64,https://paralog.ai/,,Canada,Techstars Seattle Accelerator
AI Merch,Artificial intelligence and machine learning,Pre-Seed,United States,AI Merch is a AI-powered computer vision technology that automates in-store shelf data collection for CPG distributors acting as a co-pilot for merchandisers and supervisors and offering unique actionable insights and predictive analytics.,"'- 17 customers in the pipeline
- Converted several pilots, including Manhattan Beer (5th largest company in NY), Olymp (European liquor distributor), and NetCost Market (supermarket chain) ","""AI Merch Deck_TechStars _DemoDay_Jan 10, 2024 (1)-compressed.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/90NqqVTfPy0b8x6D2QGNdQ/RNgQmdXbcSLxpp33knHAl6he5ZGJlFhUAALUg_IR42zFUsp7fFgjdY0rDmoJsDd6dODz4qhgt43okPVvMU5i16bDZQb46IJch6iQpbyW3yc-1oVPzq-8iljSohgqU3MZ75UvWBaE7o7FCDw7ID47QqDjUN5sR7moInO41An4C9L3x3cqAERSzdhAYU-r9QNf4SuaBFk8y5QLGrlkb9BlCg/TVsNPjanPHe_s9491ZLYZEu7xcJ1dPFM3uOOyB6SmqI)""",https://brdg.app/s/dqlram,Anna Vladymyrska,https://www.linkedin.com/in/anna-vladymyrska-310267160/,,https://aimerch.io/,New York,United States,Techstars New York City powered by J.P. Morgan
Cadena,"Artificial intelligence and machine learning,Future of work,Web 3.0/Crypto/Blockchain",Pre-Seed,United States,Cadena helps upskill people for jobs in AI.,#NAME?,Cadena-2024.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/emRUcDYVzZQrxKWSllogiQ/-Cg10fzf4paaR7LI_12N2r0taLGpRxroYHzd0MFcEPxMT43m2J0CqVwme0PxalGSgqRg3Go_dYl5XcxLHUSLCIVc0j6PhhpyCV7Z93WiIoJcK-w_Kw9laUlfTyOCJQZmz7rD5GAH0fhNAr1BgwNu1w/nJfG_FzNf49DeXPoytc8zLhMllAoJbo_xAiaAPIwcsU),https://brdg.app/s/7vj2ys,Saeed Jabbar,https://www.linkedin.com/in/saeedjabbar/,,https://cadena.dev/,New York,United States,Techstars Oakland powered by J.P. Morgan
ARI CARE OÜ,"Beauty,Cleantech,Manufacturing",Seed,Europe,The mission of ARI is to reinvent chemical engineering and production processes in personal care industry. Our patentable innovation in manufacturing delivers organic waterless formulas for high-performance refillable products to global customers.,"- Total of 500 thousand euros of traction generated.
- LOIs and Purchase Orders for over 6MEUR in ARR.
- 2,700 unique customers for D2C products.
- Factory being built with 2MEUR European Union grant that will open in Q3/2024 and will drive the revenue potential to 40MEUR ARR.",ARI_CARE_investor_deck_2023.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/gL5ADckljMFwbxaGL9rvsg/4QJDwu2Iy97NBsmkO2Sil0MpU4eQNhRIv3wj-s5nOJ2khCpVWJCt-uaH4mdubrP-VlCZBkKQQkorsMnBmffrnfI1f-WlvapwIoTDIcEwFCpfa2HxM02rGM5NV4aFDThXUxFfDk6XkmdUb4d_PIE7KS6WJRMSc4O4sNDUH4i8Obc/gBgSWogs4knhAGTAXz_Wm2-h4pPbgbFVT4Vtjzau78s),https://brdg.app/s/jgp5fa,Arvo Antropov,http://www.linkedin.com/in/arvo-antropov-529248232,https://fast.wistia.com/embed/medias/rlkr5u614k,http://ari.shop,,Estonia,Techstars Sustainability Paris Accelerator
accel-EQ,"Artificial intelligence and machine learning,Healthtech",Seed,United States,"accel-EQ uses AI to streamline the workflow of medical professionals. our software is working behind the scenes capturing medical data through conversations, Even generating clinical notes, seamlessly integrating with existing systems.","- Integrated with AthenaHealth.
- Closed 3 contracts.
- Partnered with Google for Startups.",ACCEL- EQ - Techstars Final Deck.pptx.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/uL9KjJkCz_BeDND72JLtxQ/7t4pQHSIWP13Sp-3jO6B4Huh3OTvthL0mOx4hh_WQ4JeeByDzyvs9dtwxADnrYn794XQpTVaPZF3J5la3Qxi-V6dgjeFRJODN8jUoeWiwaUMmlqpLOe0v5OO3NZVf4REOJp0LA5mzH0IupjtB18ReDKTL420EBGKUrkiSzJ6L2U/UHPnskEdnobP9IYIEqKWNLAQkjP03hd5fGqrE6z_yJY),https://brdg.app/s/xvxdt7,OMAR FUENTES,https://www.linkedin.com/in/omar-fuentes-cspo/,,https://www.acceleq.com/,Florida,United States,Techstars Miami powered by J.P. Morgan
