relevant,Company Li Description
0,Coming soon
0,"ShinePR delivers public relations strategy and execution to purpose-driven B2B organizations, both nonprofit and for profit, in the U.S. and Europe. ShinePR was founded on the belief that every organization has a purpose, a story to share, that sets it apart and contributes to the greater good.    We partner with clients to articulate and illuminate their purpose, raise their visibility, protect their reputation, create competitive advantage, cultivate brand advocates, and achieve success.    We love it all, and we excel at: Public relations  Brand strategy  Content creation  Crisis communications  Marketing strategy and planning  Media relations  Reputation management  Social media  Website design   Our services are delivered through team trainings, strategic initiatives, and ongoing engagements.    One of the unique aspects of ShinePR is our commitment to donate 10% of annual earnings to charitable causes our clients care about.    Recognitions and Certifications:  Certified Women’s Business Enterprise (CWBE)  BBB Accredited Business with A Rating  Best PR Agency by Best of Small Business Awards  Top 25 Best PR Firms in Philadelphia by Expertise.com  Top 25 Best Marketing Consultants in Washington, DC  Top 25 Best Branding Agencies in Boston  Certified Brand Strategist by Section 4  Certified Direct Marketing Professional by Digital Marketing Institute  Professional Certified Marketer in Digital Marketing by American Marketing Association"
0,"Egan Legacy Partners offers businesses an opportunity for a seamless transition. Backed by one of the most successful entrepreneurial families in New England, we understand the importance of nurturing and sustaining your legacy, and it’s written into our mandate to own, operate, and grow businesses for the long-term using minimal debt and financial engineering. Our unique position as part of our family office enables us to leverage our highly experienced team, allowing us to evaluate, fund, and close a deal quickly, minimizing disruptions to your business and employees.   We look for American businesses with a history of strong sales, enduring profitability, and continued future growth potential. Businesses that we can guide along a path of continued success. "
1,"PCOS Buddy is a multi-award-winning app designed to help people with Polycystic Ovary Syndrome manage their symptoms. Users can track symptoms, medication, and more to help improve their daily experience, and safeguard their future health.   Described by the Scottish Institute of Enterprise (SIE) as ‘revolutionary’, we believe that our app has the potential to improve the lives of millions of women and gender diverse people.  We are currently seeking people who have been diagnosed with PCOS to trial our app and see how it can help them.  Please contact us for more information."
0,South Glen Holdings is a diversified holding company driven by stewardship in the new economy. We buy and build businesses in growing sectors and communities through a permanent capital structure. 10% of annual profits are donated to charitable causes in the communities we serve.
0,Null
0,"A stealth startup is a startup company that operates in stealth mode, i.e. that avoids public attention. This may be done to hide information from competitors, or — as part of a marketing strategy — to manage public image. The phenomenon is well known in the venture capital (VC) community. Normally a company would only operate in stealth mode for the first couple of years. As investors may have to disclose funding a stealth startup, their names are made public, but often only a general summary description is known about the company. ""Most entrepreneurs say they are in stealth because they are worried about competitors stealing their ideas. This can be a risk if you have such a simple idea that just by hearing it, someone can replicate it.""​"
0,"Kanbrick is a long-term investment partnership focused on empowering people and organizations to reach their full potential. We seek to acquire consumer and industrial businesses with strong moats and untapped potential, build them through hands-on operational improvements, and compound long-term returns. Our approach combines our experience as investors and operators. We offer founders and business owners a differentiated option and provide companies a long-term home. To reach out or stay in touch, please visit www.kanbrick.com or email build@kanbrick.com."
1,Mark Labs is a mission-driven data analytics company. Our SaaS platform helps asset managers and asset owners drive positive environmental and social transformation while uncovering hidden sources of alpha. 
0,"AllMarkOne started in 2015. It originally began with a single Instagram account and since then, we have grown from more than just a photography firm, with videography and merchandise divisions expanding throughout 2018, with 2019 bringing live-streaming, social media management and event production teams.   However, our passion for photos has not dropped off in the process, with our team taking more images across more events last season than ever before, making them available to both our consumer and business customers within minutes of racing."
0,Messaging and Media Strategies that Drive Business Growth
0,Null
0,"Smarte Digital Inc. is an ecommerce retention and growth marketing partner for modern e-commerce brands. We help direct-to-consumer brands improve retention while accelerating LTV, AOV and profitability.   We are certified agency partners with some of the best Shopify Martech platforms like Klaviyo, Attentive, Justuno, Privy, Pantastic, Postscript, PostPilot, Fairing, ReBuy, Recharge, Yotpo, Malomo, Gorgias, Okendo, GemPages, Loop and Triple Whale.  We specialize in email marketing, SMS Marketing, personalization services, subscription services, customer support, ecommerce consulting, direct marketing, and zero-party data management. Look us up here https://www.smartedigital.com.  Our mission is to help ecommerce stores scale profitably and sustainably.  Get in touch with us and book a free 30 min introductory call  now at https://smartedigital.com/contact-us."
0,"​Bridgesplit is an specialty asset-based lending platform that enables marketplaces, custodians, and other asset management platforms to offer financing to their customers. Business and consumers use Bridgesplit to access flexible and affordable financing collateralized by assets underserved by banks like high-grade spirits, IP, climate assets, collectibles, and more.  Bridgesplit was founded in 2021 by an experienced team of engineers and traders on a mission to leverage technology to create an efficient and transparent marketplace for asset-based financial products. Bridgesplit is backed by Jump Capital and Coinbase Ventures."
0,"A stealth startup is a startup company that operates in stealth mode, i.e. that avoids public attention. This may be done to hide information from competitors, or — as part of a marketing strategy — to manage public image. The phenomenon is well known in the venture capital (VC) community. Normally a company would only operate in stealth mode for the first couple of years. As investors may have to disclose funding a stealth startup, their names are made public, but often only a general summary description is known about the company. ""Most entrepreneurs say they are in stealth because they are worried about competitors stealing their ideas. This can be a risk if you have such a simple idea that just by hearing it, someone can replicate it.""​"
0,On a mission to provide valuable technology to craft beverage producers. 
0,"Hoy en día cada vez más y más agencias de marketing digital ofrecen paquetes prefabricados de servicios a todos sus clientes, e incluso, muchos de estos servicios no se adaptan a las necesidades del cliente.    Con esto en mente, ponemos a su disposición toda nuestra experiencia y empeño en ofrecerles una manera más sencilla y efectiva de hacer buen marketing.   Ofrecemos un conjunto de servicios personalizados de marketing, a precios competitivos, entre los que destacan:  * Diagnóstico Social Media (Completamente gratuito). * Diagnóstico SEO on site. * Diseño de Plan Social Media. * Generación de prospectos. * Asesoría Personalizada.  Nuestros clientes. A lo largo de los años hemos trabajado con marcas como Arepa Music, Cynopia, Con3cta y Origami Studio.  Nuestro objetivo. Ofrecerle a nuestros clientes estrategias simples y resultados efectivos."
0,"We connect the world’s best companies & nonprofits to unlock new value for brands and more resources for the causes people love.  OUR SOLUTIONS:  Brand Activations: The world’s first impact marketplace, Samarity offers a “charity channel” for advertisers and media investors to sponsor amazing causes for good.  Market Insights: Samarity gets better survey results from hard-to-reach audiences by partnering with great nonprofits, whose supporters unlock donations for each response."
0,"Did you know that there are now fewer women of color in tech than there were a decade ago? Unfortunately.. it's true! Between 2007 and 2017 there has been a 13% decrease in the number of black women tech professionals in a study done in Silicon Valley.   This means the tech industry is failing to create work environments that help women of color grow long-term careers in technology. Baddies in Tech is here to change that! We are  a career development and networking community that is creating safe spaces for women of color to belong in technology, whether they are just launching their careers, or growing into leadership positions. Through our inclusive community network, career development events and programming, we are empowering women of color forward through all phases of their tech career journey; with a vision of increasing representation of women of color in computing roles to 10% by 2030!  Learn more and join the Baddies in Tech Discord community for free, and start getting involved!"
0,"We integrate modern medicine and ancient healing, focusing on whole-person care. Our services, products and experiences address the physical, mental and spiritual aspects of well-being to help you feel your best.  We started THE WELL to help you make wellness part of your every day — whether it’s kicking off a meditation practice or tackling a chronic health condition. Whatever your path may be, we’re here to guide you. "
0,"August is a strategic communications advisory firm that believes excellence in client service is achieved when individuals with specialized talent and subject matter expertise are empowered to focus on what they do best.  August comprises a team of highly skilled professionals who are leaders in a set of core practice areas, and who share a dedication to creating an environment that offers fulfilling development and growth opportunities.  August's core practice areas include:  -Crisis Management  -Litigation and Investigations  -Financial Restructurings and Chapter 11 Cases  -Diversity, Bias and Discrimination  -Blockchain, Digital Assets and Fintech  -Healthcare  -Corporate Positioning and Reputation Management   For more information, please visit our website or send us an email at Inquiries@AugustCo.com."
0,"The mission of Uplift Hospice is to be an innovator and differentiator in the hospice community through high quality, individualized care alongside a community-oriented company culture. We want patients and their families to feel at ease during an often-difficult time of life. We recognize that in order to deliver the highest standard of hospice home care services to our patients, we must first allow our employees to grow and thrive in an environment of respect, trust, and appreciation for all that they do. We strive to be a community partner and educator to all members of our local communities whether or not they are receiving our services. We are always happy and eager to chat - please reach out with any and all questions!"
0,"Digitaste aims to identify individual taste patterns, thereby promoting sustainability and well-being. We accomplish this by providing each individual with a digital copy of their taste profile (Digitaste ID) and engaging the tasting community within the fermented beverages sector (including wine, spirits, coffee, and tea) to share their taste perspectives.  As a result, we can develop a personalized taste framework at the finest level, incorporating over 60 aroma classes and 9 mouthfeel types. This framework serves as the basis for our taste recommendation system, which matches gourmets and users with similar tastes according to their unique profiles."
0,Building innovative email marketing programs to help eCommerce brands sell. | Book a free call with our team to find out more: https://essenceofemail.com/book-a-call
0,"Committed to a mindful and regenerative existence, Whispertree welcomes groups dedicated to social, spiritual, and sustainable transformation, and businesses deepening their strategies and team dynamics.  Welcome to Whispertree, a retreat center nestled in a protected watershed in Anderson Valley.  We offer 650-acres of inspiring, regeneratively managed land for groups and teams that prioritize a unique nature-based experience. Whispertree is equipped for groups of up to 60 with exquisite, nature-inspired accommodations, modern meeting spaces, six miles of interlaced trails, and fully customizable itineraries for corporate off-sites. Visit our website to learn more about our mission, values, land, and accommodations. Contact us with any questions about how we might host your group’s experience at Whispertree!"
0,"Fenix24, part of the Conversant Group family of companies, is raising the bar for post-incident disaster recovery and restoration with a fast, thorough and professional operation. Our battle-tested professionals execute the most intelligent and strategic recovery playbook for minimal cost of incident response and business interruption. Fenix24 is the army you need to push out the criminals that have compromised your environment and restore your company’s IT operations."
1,"Flychain partners with platforms across healthcare enabling them to launch their own working capital program. By offering a comprehensive suite of working capital solutions to their clients, including upfront cash for insurance claims, lines of credit, equipment financing, and drug financing, our partners strengthen their relationship with clients and help them grow. On average, our partners help clients increase revenue by 55% over a six-month period. If you’re a billing company, RCM, EMR, Practice Management Solution, or other healthcare platform then we’d love to chat!"
1,"We provide a highly available, easy-to-use, forward and reverse geocoding API.  Key benfits of our service are:   * Worldwide coverage and built using open data, which means much more flexibility with what you can do with the data.   * Affordable, predictable pricing with the most generous terms in the industry (no surprise pricing due to unexpected usage).   * A generous free trial so you can test thoroughly, and SDKs for over 20 programming languages so you can get started very quickly.   * Our redundant EU data centers ensure we're highly reliable, but also that we are fully GDPR compliant.    Most of our customers are from the vehicle tracking, IoT, and data processing industries. Typically we can cut their bill by 50+% when they switch to us from one of the large, proprietary geocoding services (Google, etc).   Please contact us today if you have any geocoding needs."
0,"Misfits Gaming Group (Misfits) is an interactive entertainment and lifestyle company powered by creative formats, connecting to younger audiences through multiple touch points. From our popular media and social channels to IRL experiences, an innovative gaming studio, and our competitive esports teams, we thrive at the intersection of gaming, media, and culture. Misfits empowers each of our world-class talent to realize their own unique creative vision — Misfits is a metaphorical playground, empowering them to engage and entertain our global audience."
0,How to live & drive electric. Real talk on the hassle vs upside + practical help on YOUR vehicles & home
0,"Chief is a private membership network for senior executive women. In 2019, co-founders Carolyn Childers and Lindsay Kaplan launched Chief with a mission to change the face of leadership. Today, the Chief community spans the U.S. and UK with 20,000 executive members from VP to the C-Suite. To learn more about membership and the Chief community, visit chief.com. Have a question? Head to chief.com/faq for answers to frequently asked questions."
0,"Harmony Intelligence is an AI safety research & engineering company with a mission to ensure humanity flourishes as we invent ever more advanced AI systems. We’re building the critical safety infrastructure the world will need to safely live with autonomous AI agents. Our initial focus is on catastrophic risk evals and red-teaming, working with frontier AI labs, regulators, researchers, and other key stakeholders."
0,HopFly Brewing Company is located on the banks of the Tar River in the historic Rocky Mount Mills Development.  We craft beers that challenge the palate yet are still approachable for the average drinker.  Beer for every adventure.
0,"Our vision is to empower DevOps and application developers and change how modern software applications are developed and deployed in public and private clouds.  We are Hiring We are passionate about what we are building and are actively hiring experienced software developers, architects, product managers in Bangalore, India and Silicon Valley, CA. We are interested in talking to people who are passionate about building world-class products, want to be part of creating and growing a new company and want to have some fun! Please send email to: jobs@appcito.net"
1,"Wheelhouse helps you manage your short-term rentals as professionally and efficiently as a major hotel—from understanding performance to better nightly pricing.  DARM 2021 Winner of People's Choice Award for ""Innovation of the Year"" according to our industry's top professionals for Wheelhouse Pro - our new, best-in-class platform."
0,We're a New York City-based progressive digital media company. 
0,"About Connect:  At Connect, we are on a mission to revolutionize the world of education and workforce development. Our company is dedicated to creating a dynamic ecosystem that prioritizes quality, accessibility, efficiency, and cost-effectiveness in the fields of entrepreneurship, leadership, and technology.   Our Vision: We envision a future where unemployment rates are significantly reduced, and the global workforce is filled with highly skilled and empowered individuals. Our vision extends beyond borders, with a particular focus on uplifting communities in Africa and across the globe.  Our Approach: Connect is committed to bridging the gap between education and employment. We believe that everyone deserves the opportunity to access world-class learning resources and gain the skills needed to thrive in the ever-evolving job market. To achieve this, we offer a wide range of courses, workshops, and mentorship programs that cater to individuals at all stages of their learning journey.  Key Pillars: 1. Quality: We are dedicated to delivering top-tier educational content curated by industry experts and thought leaders. Our commitment to quality ensures that learners receive the best education possible.  2. Accessibility: We break down barriers to education by providing online and offline learning options. Whether you're in a bustling city or a remote village, Connect is accessible to all.  3. Efficiency: Time is valuable, and we respect that. Our programs are designed to be efficient, allowing learners to acquire relevant skills in a timely manner.  4. Cost-effectiveness: We believe that education should not burden your finances. Connect offers affordable learning solutions without compromising on quality.  Impact: Our initiatives are driven by a desire to make a tangible impact on unemployment rates. By preparing individuals with the skills required in entrepreneurship, leadership, and technology, we are contributing to a brighter future for communities in Africa and around the world.  Join us at Connect and be part of a global movement that empowers individuals to shape their own destinies and build a brighter future for themselves and their communities. Together, we can unlock the potential of the next generation of leaders and innovators. Connect with us today and embark on your journey to success."
0,"Enabling health, performance and vitality for individuals and teams.  This page is a place-holder. Please visit our founder's page @AlastairHunt"
0,Null
0,Study Medicine in the Heart of London !
0,"Sharing tips, tricks, and inspirations to help entrepreneurs leverage technology on a Do-It-Yourself budget to grow their business."
0,"A creative studio that produces tailor made digital content for brands, companies and professionals. Web Design / Web Development / E-Commerce / Web Marketing / Graphic Design / Content Creation /"
0,"Launched in 2014, AdmitSee helps students make better college application decisions with analytics and peer insights.  The online platform features the largest searchable database of college application files – including essays, extracurriculars, test scores, and advice. The files are all uploaded by college students themselves and displayed in LinkedIn-style profiles. Prospective college students get to read real application examples and connect with the college students behind them.  The revenue-share model offers college students an easy way to make money by passing down their personal application journeys and insights to younger students – for every view their profiles get, they earn a commission. Not only does it bring transparency to the black box of admissions, AdmitSee believes it pays to pay it forward.  AdmitSee's mission is to level the admissions playing field so college is accessible to any student who has the smarts and the ambition to attend. True to its mission, AdmitSee offers affordable access. Users may pay a monthly fee of $49.99/mo or an annual fee of $169.99/yr to view an unlimited number of profiles and gain access to exclusive data insights. But, cost should never be a factor when it comes to access. Students who qualify for aid under college readiness programs can upgrade to unlimited access at no cost.  AdmitSee's database boasts millions of data points that allow the team to apply data science to the admissions process. Now, both quantitative AND qualitative information can be analyzed to provide big picture admissions trends or personalized recommendations for individual users. The data is applicable not just for students but for institutional players as well to achieve better retention rates or improve recruitment methods.  By providing cost-effective, direct access to data-driven peer insights, AdmitSee empowers applicants to improve their application strategies, find trusted peer mentors, and plan for their futures."
0,Patient & Caregiver Advisory Sessions | Patient Advocacy Group Engagement | Embedded Support  Perceptive insights. Purposeful engagements. Powerful results.
0,"Zoox is transforming mobility-as-a-service by developing a fully autonomous, purpose-built fleet designed for AI to drive and humans to enjoy."
0,"Paro is an AI-powered marketplace that delivers finance and accounting solutions to businesses through a combination of expert fractional talent, data-driven tools and guiding insights. By harnessing the power of people and technology, our growth platform provides flexible options, ranging from transaction processing support to corporate development and financing strategy, to solve core business challenges and drive growth. The result enables businesses and experts to go beyond even their loftiest goals.  Paro is a remote-first company that plans time together. We have proven through our last few years of considerable growth that we can accomplish great things no matter where we work. As such, we operate a virtual-first hybrid model that enables employees to connect virtually and in-person with events that focus on DEI, mental health and fun. Additionally, to support our ambitious plans and teams, we hold events that bring teams together a few times a year for training, collaboration, innovation, networking and social connection. We currently hire from the following states: AZ, FL, IL, IN, MI, NJ, NV, NY, OH, PA, SC, TX and WA. "
0,"Finding the unfindable on behalf of Labels, Artists & other Music Rights holders, we are a technology platform that identifies user generated content within the ecosystems of major social and sharing platforms.   With offices in Chicago, Lisbon & London the Song Sleuth team brings together decades of unparalleled experience across building technology, legal, music rights and YouTube specialist skills."
0,"Patients are tired of their healthcare provider managing diseases. At Reveal Vitality we educate and coach our patients to understand proper nutrition and self-care--making it possible to reverse disease, achieve optimum results and reveal true vitality. "
0,"Clean, vegan, and crunch-free hair care for frizzy, curly, and wavy hair. India's first Curl Coaches to help you succeed in your hair journey."
0,"Poskytujeme ověřené financování nestandardních úvěrových případů, které nelze vyřešit v bankovním sektoru. Naší vysokou přidanou hodnotou je individuální přístup ke každému žadateli. S ohledem na potřeby a možnosti vytváříme každé řešení vždy na míru.   Nejčastěji poskytujeme podnikatelské úvěry, řešíme exekuce, insolvence, dluhové poradenství či konsolidace stávajících půjček. Svým klientům dopřáváme časový komfort. Navrhovaná řešení proto mají krátkodobý (1-3 roky) i dlouhodobý (3-5 let) horizont.   Dlouhodobě získané zkušenosti v oboru podporují naší filosofii, že každý problém má své řešení. Veškerá financování  aranžujeme tak, aby klient dosáhl co nejlepších možných podmínek na trhu."
0,"A Bux é uma empresa que atua no setor de serviços financeiros e visa educar financeiramente jovens e adolescentes, por meio de um cartão de crédito pré-pago junto de uma plataforma completa de educação financeira."
0,"Make informed decisions about how to dispatch, value, and operate solar and storage projects with Tyba's unified and accessible modeling platform."
0,"If you believe climate change or global warming to be a myth, then BetterTomorrow is for you! We all see the repercussions of how the world suffers due to our actions, but very few care. BetterTomorrow intends to change that.   BetterTomorrow's mission is to inspire change, ignite conversations, and empower individuals to make a positive impact on the world. We cover stories that truly matter - stories that have the power to change how corporate giants work around sustainability, stories that influence how governments come up with their ""green policies"", stories that will ensure our kids see a greener, cleaner and better future!   As we know, it's not all rainbows and colors - the plastic pollution chokes our blue oceans, the increasing CO2 in the atmosphere chokes us, and the rapid deforestation causes animals to go extinct. We're here to change mindsets, raise awareness and be the green siren that the world so desperately needs!  Follow along. Join us now!"
0,Gemini Naturals is a hair color brand creating non-toxic formulations for textured hair. 
0,Plotting our victories
0,"Look good on and off the court with Tangerine! Featured in Vogue, Goop, The New York Times, and more, Tangerine's pickleball paddles, bags, and covers are bold, vibrant, and fun. "
0,"We maximize vacation rental listing bookings through listing optimisation, social media marketing, SEO optimisation, distribution partnerships, professional photography, and web design. "
0,Null
0,Monetization & GTM Realignment for Profitable Revenue Acceleration for B2B + B2C  www.dfnstrategy.com
0,"At Capital One, we’re changing banking for good. We were founded on the belief that no one should be locked out of the financial system. We’re dedicated to helping foster a world where everyone has an equal opportunity to prosper.   We’re a bank. But we don’t think like one. We’re always thinking about what’s next. About how we can innovate. Inspire. And develop the tools our customers need to improve their financial lives. That’s where you come in. Your ideas, your experiences and your skills will help us make banking simpler. Working here is about doing bold things. And having that feeling like you belong right where you are. Because we’re doing cool work that lets you have a life outside of work. That’s life at Capital One.   All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.  View our Social Media Community Guidelines https://www.capitalone.com/digital/social-media/"
1,The Opioid Epidemic is one of the most significant threats to public health facing the United States. Novilla is developing an opioid alternative to pain therapeutics through patented drug delivery methods.
0,"ASUS is a global technology leader delivering incredible experiences that enhance the lives of people everywhere. World renowned for continuously reimagining today’s technologies for tomorrow, ASUS puts users first In Search of Incredible to provide the world’s most innovative and intuitive devices, components, and solutions. Today’s ASUS is more ambitious than ever, unleashing remarkable gaming, content-creation, AIoT, and cloud solutions that solve user needs and infuse delight.  ASUS is home to industry-leading experts who are encouraged to pursue their passion for innovation and entrepreneurial spirit to deliver the future of technology to the world. With a team of 5,000 in-house R&D colleagues, ASUS received more than 11 awards every day in 2020 and is ranked as one of Fortune’s World’s Most Admired Companies.  Working together as One Team, ASUS team members strive to transform and evolve, trust in radical truth and transparency, and embrace idea meritocracy and foster collective wisdom in the limitless pursuit of the incredible. And because tomorrow's experiences start with today’s actions, the people of ASUS are setting new industry standards and delivering on a strong commitment to environmental and community stewardship every day.  At ASUS, every individual can find the opportunity to push the limits of what is yet to be imagined, and to make it real.  To learn more about our aspirations and what we offer, visit asus.com/about-asus/"
0,"Meta Team, LLC is a national commercial roofing provider. Our purpose is to provide streamlined commercial roofing solutions for national clients through our 250+ years of collective experience in the roofing industry.  We deliver commercial and industrial roofing solutions that meet the highest quality and safety standards.  We currently service new construction, reroofing, solar, design-build, repair and maintenance  in 22 states with nationwide coverage on the horizon."
0,"""I continue to find TechGC to be the single most useful professional group I have been a part of."" - Yvonne Tran, CLO, Schrödinger  ""TechGC provides the resources, opportunities and community to GCs and Deputy GCs that no one else can come close to matching."" - Max Eisenburg, GC, Versant Ventures  ""TechGC is the gold standard for legal peer groups."" - Matt Brady, GC, Point  ""The support from this group is phenomenal. The members are paying it forward all the time."" Melody Williams Dapp, GC, NationBuilder  ""TechGC is by far one of the best industry resources I have come across."" - Jamie Hurewitz, Head of Legal, Mattermost  ""The TechGC community is so broad, active, and chock full of relevant information. I would not consider purchasing any significant product or services without checking the TechGC thread on the topic (or starting one myself and asking my fellow GCs to weigh in)."" - Daniel Doktori, General Counsel, Credly  ""I'm not sure I could do my job without the TechGC community! The group is full of brilliant attorneys who have 'been there, done that'!"" - Emelia Schinke, VP Legal, Filevine  ""One of the best professional growth investments an in-house attorney can make...."" - Matt Rowe, GC, Parallel Wireless  ""TechGC is an amazing community that every lawyer should be a part of."" Jason Kwon, GC, OpenAI  ""This group is not to be missed!"" Kristin Sverchek, President of Business Affairs, Lyft"
0,IT solutions
2,"TrueAlgae™ is a US based biotechnology company with global reach. Our revolutionary closed-loop, proprietary algae production technology allows delivery of high quality microalgae for a multitude of uses including agriculture, aquaculture, human and animal nutrition as well as personal care products."
1,"Wealt is the ultimate digital wealth management platform and marketplace for alternative funds, empowering affluent investors to manage all their bankable and non-bankable assets in one place and make informed financial decisions using data-driven analysis.  With encrypted, secure digital vaults, we go beyond data aggregation and reporting, enabling investors to manage their wealth every day for the rest of their lives with ease and confidence.  "
0,Safe Space produces media to inspire action on the most pressing issues of our day.
0,"Join us in celebrating the simple, modern, classic way of life with specialty finds in our Women's and Men's closets, Hearth Room, Dining Room, Kitchen and bar, Pet Corner, Library, Bed and Bath, Patio and more!  Hearth and Soul invites you to experience our community events, design services, and modern wedding registry; all designed to enhance and simplify your life! Hearth and Soul is proud to showcase a variety of partners from our communities each month. From fitness, artists, and Not For Profits we strive to highlight the amazing work these people are doing for us and our communities. "
0,"The Joint CMU-Pitt Ph.D. Program in Computational Biology (CPCB) provides interdisciplinary training in using quantitative and computational approaches to tackle scientific questions that lie at the interface of the life, physical, engineering, and computer sciences.  CPCB trainees are taught and mentored by leading experts at two of the foremost computer science and biomedical research institutions in the world.  The program provides students with interdisciplinary training in various fields of computational biology: Cellular and Systems Modeling, Computational Structural Biology, Bioimage Informatics, and Computational Genomics.  CPCB students also benefit from numerous professional development opportunities available at both host institutions.  Together, the CPCB program positions our students to be leaders in this exciting field of biology and has prepared our graduates to go on to successful careers in academia, industry, and beyond!"
0,"Oak Rose Group (ORG) is a mission driven strategic consulting firm that advances policies, ideas and organizations that lead to human flourishing. ORG works at the intersection of philanthropy, social entrepreneurship, and public policys to generate meaningful improvements in education, workforce development, and economic mobility in communities across the country. We seek a world in which all individuals and families can discover their potential and fulfill their purpose."
1,"People living with psoriasis and eczema often struggle with more than the external visible aspect of it, it impacts them emotionally, socially, and physically. Without Zest, they often wait months to see a dermatologist only to be prescribed an un-personalized treatment option, without any support towards their unique needs or the broader impact these conditions have.  Zest introduces a new kind of skin healthcare experience which focuses on the patient as a decision maker.   Our membership includes:  - Rapid access to a board certified dermatologist. - An integrative approach and personalized treatment plan: Our care team will work with you to discover what works best for you. Our innovative and integrative, evidence-based approach focuses on long-term management and includes you as a decision maker in your care. - An eczema and psoriasis expert care team at your side with tools to help you make lifestyle interventions to sleep better, reduce stress, and manage symptoms. - Unlimited chat with your expert care team when you need them. - Prescription refills online from the comfort of your home."
0,"Stanford is a place of discovery, creativity and innovation located in the San Francisco Bay Area on the ancestral land of the Muwekma Ohlone Tribe. Dedicated to our founding mission—benefitting society through research and education—we are working toward a sustainable future, accelerating the impact of research with external partners, catalyzing discoveries about ourselves and our world, and educating students as global citizens. Our main campus, which welcomed its first class in 1891, is now home to 650+ student organizations, 36 varsity athletic teams, 20 libraries, 21 living Nobel laureates, 18 interdisciplinary research institutes, seven schools, and a vibrant arts scene. More than 9,000 graduate students and 7,000 undergraduates pursue studies at Stanford each year. Our financial aid program, one of the most generous in the nation, makes it possible for any admitted undergraduate to attend without taking on student debt."
0,"Willkommen bei XSUPRA - Deinem Tor zu einer nachhaltigen und datengetriebenen Landwirtschaft!  Bei XSUPRA sind wir überzeugt, dass präzise Einblicke in Klima, Wetter, Bodenbeschaffenheit und Ertragspotenziale der Schlüssel für eine effiziente und nachhaltige Bewirtschaftung sind.  Unser agiles Startup revolutioniert mit bahnbrechenden Technologien die Nutzung von Satellitendaten in der Landwirtschaft. Wir kombinieren diese mit wetterdatenbasierten Prognosen, detaillierten Bodenanalysen und wirtschaftlichen Kennzahlen für datengetriebene Entscheidungen.  Unsere KI-gestützten Analysetools machen es einfach, diese umfangreichen Datensätze zu verstehen und in konkrete Maßnahmen für den eigenen Betrieb umzusetzen.  Die XSUPRA Plattform bietet:  👩‍🌾 Satellitenbasierte Ertragsprognosen und Vegetationsanalysen  ☁️ Wetter- und Klimadaten für standortspezifische Bewirtschaftung  🌱 Digitale Bodenkartierung für gezieltes Nährstoffmanagement  💰 Wirtschaftliche Kennzahlen für optimale Ressourcenplanung  📈 KI-gestützte Entscheidungshilfen für maximale Nachhaltigkeit  Werde Teil unserer Mission, die Agrarwirtschaft mit datenbasierten Innovationen zu revolutionieren!  Gemeinsam gestalten wir eine produktive und nachhaltige Landwirtschaft der Zukunft.  #AgTech #DigitalFarming #PrecisionAgriculture #XSUPRA"
0," ArchiveCore provides secure credential storage, sharing, and verification. "
0,"Tidelift helps organizations effectively manage the open source behind modern applications.   Through the Tidelift Subscription, the company delivers a comprehensive management solution, including the tools to create customizable catalogs of known-good, proactively maintained components backed by Tidelift and its open source maintainer partners.  Tidelift enables organizations to accelerate development and reduce risk when building applications with open source, so they can create even more incredible software, even faster.  We are hiring! Check out our open roles at https://tidelift.com/careers"
0,"Connecting creatives, professionals, and visionaries through elevated social experiences"
1," Bionic Metrics offers automated testing as a service. Our powerful platform and test development expertise is scalable to any organizational or project need. We partner with your teams to ensure that you are protected against expensive bugs, operational downtime, delayed launches or new feature implementation. Bionic Metrics automated testing services keep pace with your software and app development cycles."
0,"At Kounslr, we help students track their progress through high school in order to streamline their college, job/internship, and scholarship applications. Currently under development. "
0,"SAT/ACT test coaching, college admissions consulting, and elite academic preparation"
